id,owner,created,Utility,nParams,downloads,totalDownloads
microsoft/kosmos-2-patch14-224,microsoft,2023-10-02,24.4,1664485376,130603,632593
openbmb/MiniCPM-V,openbmb,2024-01-30,37.2,3434965792,2548,18946
openbmb/MiniCPM-V-2,openbmb,2024-04-09,37.1,3434965792,8651,127187
Salesforce/blip2-flan-t5-xl,Salesforce,2023-02-06,34.4,3942446592,143438,1332783
Salesforce/instructblip-flan-t5-xl,Salesforce,2023-05-28,32.9,4022969600,17295,270048
microsoft/Phi-3-vision-128k-instruct,microsoft,2024-05-19,43.0,4146621440,174085,1666324
BAAI/Bunny-v1_1-4B,BAAI,2024-05-08,41.4,4269039680,390,3705
llava-hf/llava-v1.6-vicuna-7b-hf,llava-hf,2024-03-17,35.8,7063431168,69501,515509
llava-hf/llava-v1.6-mistral-7b-hf,llava-hf,2024-02-20,35.3,7566747648,1150349,13578480
llava-hf/llava-onevision-qwen2-7b-ov-hf,llava-hf,2024-08-13,48.8,8030807584,44290,87895
OpenGVLab/InternVL2-8B,OpenGVLab,2024-06-27,51.2,8075365376,126306,322982
openbmb/MiniCPM-V-2_6,openbmb,2024-08-04,49.8,8099175152,123269,722097
HuggingFaceM4/Idefics3-8B-Llama3,HuggingFaceM4,2024-08-05,46.6,8462086384,11818,79293
BAAI/Bunny-v1_1-Llama-3-8B-V,BAAI,2024-05-31,43.3,8489428032,3007,14780
BAAI/Bunny-v1_1-Llama-3-8B-V,BAAI,2024-05-31,38.2,8489428032,3007,14780
openbmb/MiniCPM-Llama3-V-2_5,openbmb,2024-05-19,45.8,8537092336,39978,507666
adept/fuyu-8b,adept,2023-10-18,27.9,9408238592,10256,238189
AIDC-AI/Ovis1.5-Gemma2-9B,AIDC-AI,2024-07-30,49.8,11359445052,771,2130
Salesforce/instructblip-flan-t5-xxl,Salesforce,2023-06-03,35.7,12310119680,1085,65450
Salesforce/blip2-flan-t5-xxl,Salesforce,2023-02-09,35.4,12361192960,20778,332202
Zhiqiang007/Math-LLaVA,Zhiqiang007,2024-06-24,38.3,13350839296,66,473
llava-hf/llava-v1.6-vicuna-13b-hf,llava-hf,2024-03-17,36.2,13351499776,31565,515356
GPT-4o mini,-,2024-07-18,59.4,28000000000.0,3600000000.0,0
liuhaotian/llava-v1.6-34b,liuhaotian,2024-01-31,48.1,34751166464,15924,1908707
OpenGVLab/InternVL2-40B,OpenGVLab,2024-06-27,55.2,40068684160,5391,97064
OpenGVLab/InternVL-Chat-V1-2,OpenGVLab,2024-02-11,51.6,40068684160,357,3005
Gemini 1.5 Flash,-,2024-05-23,56.1,70000000000.0,291000000.0,0
Gemini 1.0 Pro,-,2023-12-06,47.9,70000000000.0,291000000.0,0
qihoo360/360VL-70B,qihoo360,2024-05-16,50.8,71041080320,28,644
llava-hf/llava-next-72b-hf,llava-hf,2024-07-19,49.9,72666949632,1631,3623
llava-hf/llava-onevision-qwen2-72b-ov-hf,llava-hf,2024-08-13,56.8,73181570592,3327,5535
Qwen/Qwen2-VL-72B-Instruct,Qwen,2024-09-17,64.5,73405560320,75335,110898
OpenGVLab/InternVL2-Llama3-76B,OpenGVLab,2024-07-15,58.3,76262358400,182834,651668
RBDash-Team/RBDash-v1.2-72b,RBDash-Team,2024-08-27,57.7,78560966080,6,17
Claude 3.5 Sonnet,-,2024-06-20,68.3,150000000000.0,84000000.0,0
Claude 3 Haiku,-,2024-03-05,50.2,150000000000.0,84000000.0,0
GPT-4o (0513),-,2024-05-13,69.1,220000000000.0,3600000000.0,0
Gemini 1.5 Pro (0801),-,2024-08-01,65.8,220000000000.0,291000000.0,0
Gemini 1.5 Pro (0523),-,2024-05-23,62.2,220000000000.0,291000000.0,0
Claude 3 Sonnet,-,2024-03-05,53.1,400000000000.0,84000000.0,0
Claude 3 Opus,-,2024-03-05,59.4,1000000000000.0,84000000.0,0
