id,owner,created,Utility,nParams,downloads,totalDownloads
facebook/wav2vec2-base,facebook,2022-03-03,44.10333333333333,94371712,743636,14419463
microsoft/wavlm-base,microsoft,2022-03-03,48.13333333333333,94381936,46611,1379836
microsoft/wavlm-base-plus,microsoft,2022-03-03,48.73666666666666,94381936,632899,7767116
facebook/hubert-base-ls960,facebook,2022-03-03,51.56666666666667,94371712,710923,8365861
facebook/data2vec-audio-base,facebook,2022-03-03,39.3525,93164288,41722,89038
ALM/wav2vec2-base-audioset,ALM,2023-09-05,45.78166666666667,94371712,132,2297
ALM/hubert-base-audioset,ALM,2023-08-29,55.0075,94371712,146,2956
facebook/wav2vec2-large-robust,facebook,2022-03-03,25.029166666666658,315438720,1540,222225
facebook/wav2vec2-xls-r-300m,facebook,2022-03-03,45.42083333333334,315438720,3997099,17354998
microsoft/wavlm-large,microsoft,2022-03-03,57.07750000000001,315453120,296238,9927261
facebook/hubert-large-ll60k,facebook,2022-03-03,55.001666666666665,315438720,41083,4276176
facebook/data2vec-audio-large,facebook,2022-04-02,37.92583333333333,313276416,30714,129813
ALM/wav2vec2-large-audioset,ALM,2023-08-27,56.94416666666667,317390592,110,1165
ALM/hubert-large-audioset,ALM,2023-08-28,58.32750000000001,315438720,98,1451
facebook/wav2vec2-xls-r-1b,facebook,2022-03-03,54.002500000000005,962497408,50156,2451263
facebook/hubert-xlarge-ll60k,facebook,2022-03-03,55.978333333333325,962497408,1320,51034
