id,owner,created,Utility,nParams,downloads,totalDownloads
m-a-p/OpenCodeInterpreter-DS-33B,m-a-p,2024-02-19,55.83,33000000000.0,507,8465
NTQAI/Nxcode-CQ-7B-orpo,NTQAI,2024-04-24,55.42,7000000000.0,10575,23200
Qwen/CodeQwen1.5-7B-Chat,Qwen,2024-04-15,55.08,7000000000.0,60861,210602
codefuse-ai/CodeFuse-DeepSeek-33B,codefuse-ai,2024-01-12,54.33,33000000000.0,141,2016
deepseek-ai/deepseek-coder-33b-instruct,deepseek-ai,2023-11-01,52.0,33000000000.0,31134,453703
Artigenz/Artigenz-Coder-DS-6.7B,Artigenz,2024-04-15,51.5,6700000000.0,58769,421121
deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-ai,2023-10-29,50.33,6700000000.0,87659,725933
m-a-p/OpenCodeInterpreter-DS-6.7B,m-a-p,2024-02-19,49.67,6700000000.0,9291,126126
phind/Phind-CodeLlama-34B-v2,Phind,2023-08-28,49.12,34000000000.0,3321,511093
phind/Phind-CodeLlama-34B-v1,Phind,2023-08-25,47.92,34000000000.0,1532,44220
phind/Phind-CodeLlama-34B-Python-v1,Phind,2023-08-25,46.35,34000000000.0,955,150322
Qwen/CodeQwen1.5-7B,Qwen,2024-04-15,45.08,7000000000.0,3894,39667
codellama/CodeLlama-70b-Instruct-hf,codellama,2024-01-29,43.58,70000000000.0,11340,126538
WizardLM/WizardCoder-Python-34B-V1.0,WizardLMTeam,2023-08-26,43.35,34000000000.0,517,299723
codellama/CodeLlama-70b-hf,codellama,2024-01-29,43.21,70000000000.0,415,48730
deepseek-ai/deepseek-coder-33b-base,deepseek-ai,2023-10-28,42.75,33000000000.0,3016,55165
codellama/CodeLlama-70b-Python-hf,codellama,2024-01-29,42.33,70000000000.0,595,33926
bigcode/starcoder2-15b,bigcode,2024-02-20,39.92,15000000000.0,22856,282722
codellama/CodeLlama-34b-Instruct-hf,codellama,2023-08-24,38.5,34000000000.0,16452,816245
deepseek-ai/deepseek-coder-6.7b-base,deepseek-ai,2023-10-23,38.33,6700000000.0,41976,208558
WizardLM/WizardCoder-Python-13B-V1.0,WizardLMTeam,2023-08-26,38.19,13000000000.0,765,22745
codellama/CodeLlama-34b-hf,codellama,2023-08-24,37.65,34000000000.0,9564,280368
codellama/CodeLlama-34b-Python-hf,codellama,2023-08-24,36.81,34000000000.0,4038,80991
WizardLM/WizardCoder-15B-V1.0,WizardLMTeam,2023-06-14,35.15,15000000000.0,1179,157787
codellama/CodeLlama-13b-Instruct-hf,codellama,2023-08-24,34.19,13000000000.0,56907,663451
google/codegemma-7b,google,2024-03-21,33.83,7000000000.0,3916,49016
codellama/CodeLlama-13b-hf,codellama,2023-08-24,32.12,13000000000.0,22760,307827
codellama/CodeLlama-13b-Python-hf,codellama,2023-08-24,30.04,13000000000.0,2139,63367
codellama/CodeLlama-7b-Instruct-hf,codellama,2023-08-24,28.31,7000000000.0,85114,990481
bigcode/starcoder2-7b,bigcode,2024-02-20,28.25,7000000000.0,47310,174037
google/codegemma-7b-it,google,2024-03-21,27.0,7000000000.0,24086,66406
WisdomShell/CodeShell-7B,WisdomShell,2023-10-05,26.77,7000000000.0,443,3564
codellama/CodeLlama-7b-hf,codellama,2023-08-24,26.69,7000000000.0,95491,1483553
bigcode/octocoder,bigcode,2023-07-23,25.15,15000000000.0,161,14385
codellama/CodeLlama-7b-Python-hf,codellama,2023-08-24,24.92,7000000000.0,20766,219348
bigcode/starcoder,bigcode,2023-04-24,24.5,15000000000.0,14179,457810
tiiuae/falcon-180B,tiiuae,2023-08-29,24.2,180000000000.0,4174,239873
bigcode/starcoderbase,bigcode,2023-05-03,23.85,15000000000.0,798,106683
bigcode/starcoder2-3b,bigcode,2023-11-29,22.75,3000000000.0,159886,686909
THUDM/codegeex2-6b,THUDM,2023-07-19,20.5,6000000000.0,159,44446
bigcode/starcoderbase-7b,bigcode,2023-07-26,20.0,7000000000.0,4427,45655
bigcode/octogeex,bigcode,2023-07-28,19.73,7000000000.0,26,1092
Salesforce/codegen25-7b-multi,Salesforce,2023-07-06,18.04,7000000000.0,1134,657815
google/codegemma-2b,google,2024-03-21,17.5,2000000000.0,6063,30989
smallcloudai/Refact-1_6B-fim,smallcloudai,2023-08-29,17.08,1600000000.0,28023,785066
stabilityai/stable-code-3b,stabilityai,2024-01-09,16.17,3000000000.0,8822,160803
deepseek-ai/deepseek-coder-1.3b-base,deepseek-ai,2023-10-28,16.0,1000000000.0,39877,301242
bigcode/starcoderbase-3b,bigcode,2023-06-30,13.73,3000000000.0,3033,62820
replit/replit-code-v1-3b,replit,2023-04-28,10.31,2700000000.0,389,158159
Salesforce/codegen25-7b-mono,Salesforce,2023-07-06,9.92,7000000000.0,815,14018
bigcode/starcoderbase-1b,bigcode,2023-07-03,9.88,1100000000.0,7230,210517
Salesforce/codegen-16B-multi,Salesforce,2022-04-13,8.77,16000000000.0,1066,53341
stabilityai/stablecode-completion-alpha-3b,stabilityai,2023-07-31,7.73,3000000000.0,167,3196
Deci/DeciCoder-1b,Deci,2023-08-16,7.5,1000000000.0,2313,478598
microsoft/phi-1,microsoft,2023-09-10,6.92,1000000000.0,9291,167100
bigcode/santacoder,bigcode,2022-12-02,6.12,1100000000.0,5419,4574527
