id,owner,created,Utility,nParams,downloads,totalDownloads
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,laion,2023-03-23,0.895,650000000.0,1227966,
openai/clip-vit-large-patch14-336,openai,2022-05-27,0.89,307000000.0,5520485,
Falconsai/nsfw_image_detection,Falconsai,2023-02-10,0.8859999999999999,86000000.0,84326011,
dima806/fairface_age_image_detection,dima806,2023-02-10,0.8859999999999999,86000000.0,80763135,
google/vit-base-patch16-224,google,2023-02-10,0.8859999999999999,86000000.0,7893418,
microsoft/beit-large-patch16-224-pt22k-ft22k,microsoft,2021-06-15,0.8859999999999999,331000000.0,2322,
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,laion,2021-06-10,0.8808,656000000.0,1227966,
laion/CLIP-convnext_xxlarge-laion2B-s34B-b82K-augreg,laion,2022-01-10,0.878,350000000.0,30109,
shi-labs/dinat-large-in22k-in1k-224,shi-labs,2022-09-29,0.875,200000000.0,122,
microsoft/swinv2-base-patch4-window8-256,microsoft,2021-11-18,0.871,88000000.0,20980,
google/efficientnet-b6,google,2019-11-11,0.8640000000000001,43000000.0,287,
microsoft/swin-base-patch4-window7-224,microsoft,2021-03-25,0.8640000000000001,88000000.0,257490,
microsoft/beit-large-patch16-224,microsoft,2021-06-15,0.863,86000000.0,1490,
google/efficientnet-b5,google,2019-11-11,0.861,30000000.0,432,
google/vit-large-patch16-224,google,2022-04-14,0.858,304800000.0,48794,
facebook/convnext-large-224,facebook,2022-01-10,0.855,198000000.0,2289,
google/efficientnet-b4,google,2019-11-11,0.853,19000000.0,2020,
timm/resnet50.a1_in1k,timm,2015-12-10,0.753,25000000.0,20775144,
timm/eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,timm,2023-03-31,0.90054,305080000.0,3201,336657
timm/eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,timm,2023-03-31,0.8996599999999999,305080000.0,1542,155046
timm/eva_giant_patch14_560.m30m_ft_in22k_in1k,timm,2022-12-23,0.8979600000000001,1014450000.0,150307,434949
timm/eva02_large_patch14_448.mim_in22k_ft_in1k,timm,2023-03-31,0.89632,305080000.0,442,6234
timm/eva_giant_patch14_336.m30m_ft_in22k_in1k,timm,2022-12-23,0.8956999999999999,1013010000.0,302,11104
timm/eva02_large_patch14_448.mim_m38m_ft_in1k,timm,2023-03-31,0.89554,305080000.0,479,195798
timm/eva_giant_patch14_336.clip_ft_in1k,timm,2022-12-23,0.8946200000000001,1013010000.0,233,15768
timm/eva_large_patch14_336.in22k_ft_in22k_in1k,timm,2022-12-22,0.8925,304530000.0,1906,91311
timm/eva_giant_patch14_224.clip_ft_in1k,timm,2022-12-23,0.88886,1012560000.0,1532,135084
timm/convnextv2_huge.fcmae_ft_in22k_in1k_512,timm,2023-01-05,0.8886,660290000.0,917,40952
timm/eva_large_patch14_336.in22k_ft_in1k,timm,2022-12-22,0.8869,304530000.0,222,85886
timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,timm,2023-03-31,0.88682,87120000.0,4036,262820
timm/convnextv2_huge.fcmae_ft_in22k_in1k_384,timm,2023-01-05,0.8866200000000001,660290000.0,925,34594
timm/vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,timm,2022-11-02,0.88628,632460000.0,670,127392
timm/convnext_xxlarge.clip_laion2b_soup_ft_in1k,timm,2023-04-01,0.88622,846470000.0,24227,1131335
timm/eva_large_patch14_196.in22k_ft_in22k_in1k,timm,2022-12-22,0.8859600000000001,304140000.0,41019,624816
timm/beit_large_patch16_512.in22k_ft_in22k_in1k,timm,2022-12-23,0.88578,305670000.0,3431,29429
timm/maxvit_xlarge_tf_512.in21k_ft_in1k,timm,2022-12-02,0.8854000000000001,475770000.0,590,36992
timm/beitv2_large_patch16_224.in1k_ft_in22k_in1k,timm,2022-12-23,0.8840600000000001,304430000.0,1937,28608
timm/beit_large_patch16_384.in22k_ft_in22k_in1k,timm,2022-12-23,0.88382,305000000.0,726,16879
timm/tf_efficientnet_l2.ns_jft_in1k,timm,2022-12-13,0.88362,480310000.0,475,54046
timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,timm,2023-04-01,0.88334,200130000.0,2980,39151
timm/maxvit_xlarge_tf_384.in21k_ft_in1k,timm,2022-12-02,0.88304,475320000.0,392,16367
timm/vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,timm,2022-11-02,0.88278,632050000.0,1023,52775
timm/eva02_base_patch14_448.mim_in22k_ft_in1k,timm,2023-03-31,0.88266,87120000.0,310,21597
timm/vit_large_patch14_clip_336.openai_ft_in12k_in1k,timm,2022-11-21,0.88264,304530000.0,694,69664
timm/tf_efficientnet_l2.ns_jft_in1k_475,timm,2022-12-13,0.8825,480310000.0,933,18762
timm/maxvit_large_tf_512.in21k_ft_in1k,timm,2022-12-02,0.88236,212330000.0,5956,38141
timm/regnety_1280.swag_ft_in1k,timm,2023-03-21,0.88224,644810000.0,283,9587
timm/maxvit_base_tf_512.in21k_ft_in1k,timm,2022-12-02,0.88212,119880000.0,1660,157833
timm/vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,timm,2022-11-02,0.8819199999999999,304530000.0,4588,28058
timm/convnextv2_large.fcmae_ft_in22k_in1k_384,timm,2023-01-05,0.88178,197960000.0,1216,39077
timm/vit_large_patch14_clip_224.openai_ft_in12k_in1k,timm,2022-11-03,0.8816200000000001,304200000.0,1571,7542813
timm/caformer_b36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.88066,98750000.0,1129,16431
timm/maxvit_large_tf_384.in21k_ft_in1k,timm,2022-12-02,0.87996,212030000.0,213,21936
timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,timm,2023-04-01,0.8797,200130000.0,21238,1080529
timm/eva_large_patch14_196.in22k_ft_in1k,timm,2022-12-22,0.87956,304140000.0,1046,45727
timm/maxvit_base_tf_384.in21k_ft_in1k,timm,2022-12-02,0.87928,119650000.0,131,25266
timm/vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,timm,2022-11-02,0.87898,304200000.0,2380,89945
timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,timm,2023-02-07,0.8789,200130000.0,761,18235
timm/vit_large_patch14_clip_336.laion2b_ft_in1k,timm,2022-11-07,0.87866,304530000.0,75,8144
timm/vit_large_patch14_clip_224.openai_ft_in1k,timm,2022-11-02,0.8786,304200000.0,510,19131
