nParams,created,downloads,Utility
1310000000.0,2022-11-10,23,62.9
223000000.0,2022-06-06,1064357,60.8
1080000000.0,2023-04-14,3462,60.2
368000000.0,2022-11-10,25,55.3
256000000.0,2022-11-10,28,54.1
391000000.0,2022-01-10,1682,54.0
235000000.0,2022-01-10,7587,53.7
122000000.0,2022-01-10,273,53.1
84700000.0,2021-05-31,30793,51.8
128000000.0,2022-11-10,25,51.3
64099999.99999999,2021-05-31,20905,51.1
80000000.0,2022-11-10,54,50.9
55000000.0,2022-02-20,246,50.2
122000000.0,2022-01-10,273,49.9
82000000.0,2022-01-10,53303,49.6
27400000.0,2021-09-09,214,49.6
59000000.0,2022-11-10,197,48.1
49000000.0,2022-02-20,246,48.1
60000000.0,2022-01-10,1781,46.7
18000000.0,2022-02-20,171,42.9
8000000.0,2022-02-20,573,38.5
3800000.0,2021-05-31,163252,37.4
