id,owner,created,Utility,nParams,downloads,totalDownloads
GPT-4-Turbo,,1970-01-01,37.74,440000000000.0,3600000000.0,0
Claude-2,,1970-01-01,26.42,176000000000.0,84000000.0,0
GPT-3.5-Turbo,,1970-01-01,25.86,175000000000.0,3600000000.0,0
Claude-Instant,,1970-01-01,23.94,60000000000.0,84000000.0,0
Qwen/Qwen-14B-Chat,Qwen,2023-09-24,22.28,14170000000.0,2457,434037
01-ai/Yi-34B-Chat,01-ai,2023-11-22,18.93,34390000000.0,16067,265990
mistralai/Mistral-7B-Instruct-v0.1,mistralai,2023-09-27,18.22,7240000000.0,200741,5759500
microsoft/phi-2,microsoft,2023-12-13,9.21,2780000000.0,262900,5137843
lmsys/vicuna-13b-v1.3,lmsys,2023-06-18,7.56,13000000000.0,8641,366738
microsoft/phi-1_5,microsoft,2023-09-10,0.22,1300000000.0,140958,1490430
mosaicml/mpt-30b-instruct,mosaicml,2023-06-21,0.02,30000000000.0,2738,228530
