id,owner,created,Utility,nParams,downloads,totalDownloads
nvidia/stt_en_fastconformer_transducer_large,nvidia,2023-06-08,30.739999999999995,0,52,74020
nvidia/stt_en_conformer_ctc_small,nvidia,2023-06-12,28.639999999999997,0,58,5952
speechbrain/asr-wav2vec2-librispeech,speechbrain,2022-06-05,25.449999999999996,0,57,3237
openai/whisper-tiny.en,openai,2022-09-26,26.989999999999995,37760256,227174,3998587
openai/whisper-base.en,openai,2022-09-26,29.479999999999997,72593408,605075,3522417
facebook/wav2vec2-base-960h,facebook,2022-03-03,10.399999999999999,94395552,1146881,70304573
distil-whisper/distil-small.en,distil-whisper,2023-12-06,31.229999999999997,166132224,21324,185481
openai/whisper-small.en,openai,2022-09-26,31.209999999999997,241734144,107193,1357733
facebook/wav2vec2-large-robust-ft-libri-960h,facebook,2022-03-03,16.869999999999997,315471520,63615,770320
distil-whisper/distil-medium.en,distil-whisper,2023-10-24,31.029999999999998,394375168,596743,5405286
facebook/wav2vec2-conformer-rope-large-960h-ft,facebook,2022-04-18,16.519999999999996,593426112,39136,355213
distil-whisper/distil-large-v2,distil-whisper,2023-10-24,31.879999999999995,756220160,67095,759466
distil-whisper/distil-large-v3,distil-whisper,2024-03-21,32.28,756405760,108490,967201
openai/whisper-medium.en,openai,2022-09-26,31.709999999999997,763856896,321660,1311693
facebook/hubert-xlarge-ls960-ft,facebook,2022-03-03,17.249999999999996,962538400,6508,120850
facebook/mms-1b-fl102,facebook,2023-05-27,0.0,964748494,241,697028
facebook/mms-1b-all,facebook,2023-05-27,17.259999999999998,964845850,797606,4584778
nvidia/canary-1b,nvidia,2024-02-07,33.3,1000000000.0,11597,301112
nvidia/parakeet-tdt-1.1b,nvidia,2024-01-25,32.79,1100000000.0,465519,2100519
nvidia/parakeet-rnnt-1.1b,nvidia,2023-12-28,32.68,1100000000.0,54205,1472538
nvidia/parakeet-ctc-1.1b,nvidia,2023-12-28,32.4,1100000000.0,5933,61738
openai/whisper-large-v2,openai,2022-12-05,31.97,1543304960,44104872,49613952
openai/whisper-large,openai,2022-09-26,31.859999999999996,1543304960,281009,2254236
openai/whisper-large-v3,openai,2023-11-07,32.36,1543490560,4120952,33346143
