id,owner,created,Utility,nParams,downloads,totalDownloads
minishlab/M2V_base_output,minishlab,2024-09-19,61.25,7559168,3178,21726
Mihaiii/Squirtle,Mihaiii,2024-04-30,64.86,15615360,271,13086
Mihaiii/Venusaur,Mihaiii,2024-04-29,67.77,15615360,500,13812
TaylorAI/bge-micro-v2,TaylorAI,2023-10-11,68.04,17389824,93682,984434
TaylorAI/bge-micro,TaylorAI,2023-10-07,66.35,17389824,1896,56238
Mihaiii/Bulbasaur,Mihaiii,2024-04-27,67.9,17389824,273,13740
Mihaiii/Wartortle,Mihaiii,2024-04-30,65.72,17389824,272,13021
Mihaiii/gte-micro,Mihaiii,2024-04-22,62.81,17389824,141,8315
Mihaiii/gte-micro-v2,Mihaiii,2024-04-22,67.47,17389824,136,7162
Mihaiii/gte-micro-v3,Mihaiii,2024-04-22,67.47,17389824,330,32771
Mihaiii/test24,Mihaiii,2024-05-01,63.54,17389824,361,12798
Mihaiii/test25,Mihaiii,2024-05-01,64.56,17389824,362,12911
Mihaiii/gte-micro-v4,Mihaiii,2024-04-22,68.13,19164288,152,7711
Snowflake/snowflake-arctic-embed-xs,Snowflake,2024-04-12,62.94,22565376,263619,890317
avsolatorio/GIST-all-MiniLM-L6-v2,avsolatorio,2024-02-03,72.72,22713216,92755,1272461
TaylorAI/gte-tiny,TaylorAI,2023-10-05,70.35,22713216,39155,511062
Mihaiii/Ivysaur,Mihaiii,2024-04-27,70.25,22713216,829,14652
brahmairesearch/slx-v0.1,brahmairesearch,2024-08-13,62.64,22713216,1020,5649
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,2022-03-03,62.62,22713728,89599414,732344465
jinaai/jina-embeddings-v2-small-en,jinaai,2023-09-27,68.82,32690688,1335677,8699472
Snowflake/snowflake-arctic-embed-s,Snowflake,2024-04-12,65.65,33212160,36121,286804
avsolatorio/NoInstruct-small-Embedding-v0,avsolatorio,2024-05-01,75.97,33360000,198601,457793
avsolatorio/GIST-small-Embedding-v0,avsolatorio,2024-02-03,76.11,33360000,850421,3987217
abhinand/MedEmbed-small-v0.1,abhinand,2024-10-20,71.83,33360000,4348,20826
BAAI/bge-small-en-v1.5,BAAI,2023-09-12,74.14,33360512,4607530,55592868
thenlper/gte-small,thenlper,2023-07-27,72.31,33360512,5016683,15290877
intfloat/e5-small-v2,intfloat,2023-05-19,72.94,33360512,127218,9286711
intfloat/e5-small,intfloat,2022-12-07,71.67,33360512,25597,1129949
sentence-transformers/all-MiniLM-L12-v2,sentence-transformers,2022-03-03,63.21,33360512,4193453,176977632
minishlab/M2V_base_glove,minishlab,2024-09-19,61.34,102400512,358,2169
minishlab/M2V_base_glove_subword,minishlab,2024-10-02,61.27,102599424,318,1512
Snowflake/snowflake-arctic-embed-m,Snowflake,2024-04-11,68.23,108891648,700522,2585281
Snowflake/snowflake-arctic-embed-m-v1.5,Snowflake,2024-07-03,68.79,108891648,32107,128103
avsolatorio/GIST-Embedding-v0,avsolatorio,2024-01-31,76.03,109482240,380048,3801069
technicolor/Angle_BERT,technicolor,2024-05-12,66.01,109482240,152,6019
BAAI/bge-base-en-v1.5,BAAI,2023-09-11,75.53,109482752,1606649,462961689
thenlper/gte-base,thenlper,2023-07-27,73.01,109482752,1198594,13936261
intfloat/e5-base-v2,intfloat,2023-05-19,73.84,109482752,477273,6057169
intfloat/e5-base,intfloat,2022-12-26,72.63,109482752,332477,1027969
sentence-transformers/msmarco-bert-co-condensor,sentence-transformers,2022-03-03,64.71,109482752,5666,19089
sentence-transformers/all-mpnet-base-v2,sentence-transformers,2022-03-03,65.03,109486978,34157297,842503893
sentence-transformers/gtr-t5-base,sentence-transformers,2022-03-03,65.25,109628544,169207,1003959
sentence-transformers/sentence-t5-base,sentence-transformers,2022-03-03,69.81,109628544,128558,2747686
sentence-transformers/allenai-specter,sentence-transformers,2022-03-03,52.37,109938944,21793,1362234
google-bert/bert-base-uncased,google-bert,2022-03-03,61.66,110106428,87046812,1961121822
Lajavaness/bilingual-embedding-small,Lajavaness,2024-07-17,67.77,117653760,13806,204346
Marqo/multilingual-e5-small,Marqo,2024-09-04,70.74,117654272,261,3579
intfloat/multilingual-e5-small,intfloat,2023-06-30,67.03,117654272,1143412,14099522
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,2022-03-03,64.31,117654272,9356852,111720834
shibing624/text2vec-base-multilingual,shibing624,2023-06-22,62.23,117654272,130401,2361143
sentence-transformers/distiluse-base-multilingual-cased-v2,sentence-transformers,2022-03-03,64.67,134734080,644411,20869128
nomic-ai/nomic-embed-text-v1,nomic-ai,2024-01-31,74.12,136731648,524333,8790016
nomic-ai/nomic-embed-text-v1.5,nomic-ai,2024-02-10,73.55,136731648,1631835,23349247
nomic-ai/nomic-embed-text-v1.5,nomic-ai,2024-02-10,73.55,136731648,1631835,23349247
nomic-ai/nomic-embed-text-v1.5,nomic-ai,2024-02-10,73.55,136731648,1631835,23349247
Snowflake/snowflake-arctic-embed-m-long,Snowflake,2024-04-12,68.01,136731648,30613,382617
nomic-ai/nomic-embed-text-v1.5,nomic-ai,2024-02-10,73.55,136731648,1631835,23349247
nomic-ai/nomic-embed-text-v1.5,nomic-ai,2024-02-10,73.55,136731648,1631835,23349247
Alibaba-NLP/gte-base-en-v1.5,Alibaba-NLP,2024-04-20,77.17,136776192,1167267,5144850
jinaai/jina-embeddings-v2-base-en,jinaai,2023-09-27,73.45,137368320,271524,4087595
jinaai/jina-embeddings-v2-base-de,jinaai,2024-01-12,67.98,160813824,61694,394588
