id,owner,created,Utility,nParams,downloads,totalDownloads
nvidia/NV-Embed-v2,nvidia,2024-08-29,58.46,7851016192,324552,829002
BAAI/bge-en-icl,BAAI,2024-07-25,57.89,7110672384,20790,160135
NovaSearch/stella_en_1.5B_v5,dunzhang,2024-07-12,57.69,1543268864,145279,1377485
Salesforce/SFR-Embedding-2_R,Salesforce,2024-06-14,56.17,7110660096,3544,166291
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP,2024-06-15,56.92,7612620288,76258,295838
NovaSearch/stella_en_400M_v5,dunzhang,2024-07-12,56.7,435188736,385014,5614895
BAAI/bge-multilingual-gemma2,BAAI,2024-07-25,54.65,9241713152,139332,605111
nvidia/NV-Embed-v1,nvidia,2024-05-23,52.8,7851016192,4683,706406
Linq-AI-Research/Linq-Embed-Mistral,Linq-AI-Research,2024-05-29,51.42,7110660096,5684,55378
Salesforce/SFR-Embedding-Mistral,Salesforce,2024-01-24,51.67,7110660096,35664,484382
zeta-alpha-ai/Zeta-Alpha-E5-Mistral,zeta-alpha-ai,2024-08-30,51.89,7110660096,354,2923
Alibaba-NLP/gte-Qwen1.5-7B-instruct,Alibaba-NLP,2024-04-20,55.83,7721324544,810,10809
Alibaba-NLP/gte-Qwen2-1.5B-instruct,Alibaba-NLP,2024-06-29,48.75,1776197120,436477,957802
GritLM/GritLM-7B,GritLM,2024-02-11,50.61,7241732096,31080,305746
intfloat/e5-mistral-7b-instruct,intfloat,2023-12-20,50.26,7110660096,197516,1994079
GritLM/GritLM-8x7B,GritLM,2024-02-11,50.14,46702792704,4503,65775
arkohut/jina-embeddings-v3,arkohut,2024-10-23,45.21,572310396,890,13778
jinaai/jina-embeddings-v3,jinaai,2024-09-05,45.21,572310396,1933456,5025260
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,2024-04-20,47.96,434139136,2303808,19575097
pingkeest/learning2_model,pingkeest,2024-10-25,47.96,434139136,36,4148
jxm/cde-small-v1,jxm,2024-09-24,48.32,281140992,98622,149757
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,HIT-TMG,2024-10-23,45.46,494032768,32146,91243
jspringer/echo-mistral-7b-instruct-lasttoken,jspringer,2024-02-19,46.32,7110660096,444,22109
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,2024-03-07,46.71,335141888,1565798,36750812
WhereIsAI/UAE-Large-V1,WhereIsAI,2023-12-04,46.73,335141888,2734714,10635073
