id,owner,created,Utility,nParams,downloads,totalDownloads
GPT-4-1106-preview,OpenAI,2023-04-01,1250.7207730824948,880000000000.0,3600000000.0,0
GPT-4-0314,OpenAI,2021-09-01,1186.076620140222,880000000000.0,3600000000.0,0
Claude-1,Anthropic,1970-01-01,1148.6030506832863,70000000000.0,84000000.0,0
GPT-4-0613,OpenAI,2021-09-01,1161.7020453095374,880000000000.0,3600000000.0,0
Claude-2.0,Anthropic,1970-01-01,1131.2954520365224,130000000000.0,84000000.0,0
Claude-2.1,Anthropic,1970-01-01,1118.0773095372465,130000000000.0,84000000.0,0
GPT-3.5-Turbo-0613,OpenAI,2021-09-01,1116.6938484249204,70000000000.0,3600000000.0,0
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,2023-12-10,1114.0,46702792704,587051,8082818
Claude-Instant-1,Anthropic,1970-01-01,1111.123276847553,70000000000.0,84000000.0,0
GPT-3.5-Turbo-0314,OpenAI,2021-09-01,1106.0141030843556,70000000000.0,3600000000.0,0
allenai/tulu-2-dpo-70b,allenai,2023-11-12,1099.257499317574,68976648192,1761,37060
01-ai/Yi-34B-Chat,01-ai,2023-11-22,1110.9491548070355,34388917248,8955,268719
berkeley-nest/Starling-LM-7B-alpha,berkeley-nest,2023-11-25,1088.1987524874548,7241748480,20287,980646
pplx-70b-online,Perplexity AI,1970-01-01,1077.6861359768382,70000000000.0,90780000.0,0
teknium/OpenHermes-2.5-Mistral-7B,teknium,2023-10-29,1074.4547519643195,7241748480,145700,1085610
GPT-3.5-Turbo-1106,OpenAI,2021-09-01,1067.7537717172695,70000000000.0,3600000000.0,0
meta-llama/Llama-2-70b-chat-hf,meta-llama,2023-07-14,1092.9160476060295,68976653312,211461,4021607
upstage/SOLAR-10.7B-Instruct-v1.0,upstage,2023-12-12,1062.1701570491898,10731524096,146655,854965
ehartford/dolphin-2.2.1-mistral-7b,cognitivecomputations,2023-10-30,1062.381575207915,7241748480,12930,363651
HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4,2023-10-26,1053.0331763713948,7241732096,694001,5203198
Qwen/Qwen-14B-Chat,Qwen,2023-09-24,1034.617220797709,14167290880,2857,435053
HuggingFaceH4/zephyr-7b-alpha,HuggingFaceH4,2023-10-09,1041.206668948283,7241732096,32936,908796
codellama/CodeLlama-34b-Instruct-hf,codellama,2023-08-24,1042.248497782069,33743970304,13768,819606
tiiuae/falcon-180B-chat,tiiuae,2023-09-04,1033.954729382286,179522565120,1115,105141
meta-llama/Llama-2-13b-chat-hf,meta-llama,2023-07-13,1063.1510878370275,13015866880,934618,11946588
mistralai/Mistral-7B-Instruct-v0.1,mistralai,2023-09-27,1008.0486480192639,7241732096,187483,5811028
pplx-7b-online,Perplexity AI,1970-01-01,1044.528016970188,7000000000.0,90780000.0,0
meta-llama/Llama-2-7b-chat-hf,meta-llama,2023-07-13,1036.710763115318,6738417664,721283,14598874
THUDM/chatglm3-6b,THUDM,2023-10-25,955.0379600904756,6243584032,57586,3204767
togethercomputer/StripedHyena-Nous-7B,togethercomputer,2023-12-04,1017.1180491174966,7646024704,17598,151220
GPT-4-0125-preview,OpenAI,2023-12-01,1245.4365319784424,880000000000.0,3600000000.0,0
Qwen/Qwen1.5-72B-Chat,Qwen,2024-01-30,1147.077450558933,72287920128,14400,250539
Qwen/Qwen1.5-7B-Chat,Qwen,2024-01-30,1069.915129428967,7721324544,31846,427627
Qwen/Qwen1.5-4B-Chat,Qwen,2024-01-30,988.1014496000388,3950369280,6179,136664
openchat/openchat-3.5-0106,openchat,2024-01-07,1091.2248899841904,7241748480,16777,789585
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,NousResearch,2024-01-11,1083.9546060431062,46702809088,3897,347972
GPT-3.5-Turbo-0125,OpenAI,2021-09-01,1105.5846431734947,70000000000.0,3600000000.0,0
Mistral-Large-2402,Mistral,1970-01-01,1157.1291204359777,540000000000.0,2800000.0,0
google/gemma-7b-it,google,2024-02-13,1037.1269881445564,8537680896,651642,2858707
google/gemma-2b-it,google,2024-02-08,989.2582380875166,2506172416,93293,2439863
mistralai/Mistral-7B-Instruct-v0.2,mistralai,2023-12-11,1072.2202059207132,7241732096,1063402,13604338
Claude 3 Sonnet,Anthropic,2023-08-01,1200.8549000004673,400000000000.0,84000000.0,0
Claude 3 Opus,Anthropic,2023-08-01,1247.899717107603,1000000000000.0,84000000.0,0
codellama/CodeLlama-70b-hf,codellama,2024-01-29,1042.2748585576787,68976910336,479,48887
allenai/OLMo-7B-Instruct,allenai,2024-02-23,1015.0540043548477,6888095744,3235,66155
Claude 3 Haiku,Anthropic,2023-08-01,1178.287323340212,150000000000.0,84000000.0,0
