id,owner,created,Utility,nParams,downloads,totalDownloads
Felladrin/Minueza-32M-UltraChat,Felladrin,2024-02-27,0.29407186405500063,32792760,388,7977
google/flan-t5-small,google,2022-10-21,0.32442599558957064,76961152,307406,4662794
distilbert/distilgpt2,distilbert,2022-03-03,0.29557482265510643,88204032,4073644,187838604
HuggingFaceTB/SmolLM-135M,HuggingFaceTB,2024-07-14,0.3074328706706447,134515008,64201,150194
HuggingFaceTB/SmolLM-135M-Instruct,HuggingFaceTB,2024-07-16,0.2896614346867298,134515008,18196,55130
openai-community/gpt2,openai-community,2022-03-03,0.2963630221821867,137022720,7311092,604383863
Felladrin/Llama-160M-Chat-v1,Felladrin,2023-12-21,0.29964976002075494,162417408,921,41784
EleutherAI/pythia-160m,EleutherAI,2023-02-08,0.2900574259655444,212654688,224587,1102893
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,BEE-spoke-data,2024-06-08,0.2992606044882605,217863168,70,262
BEE-spoke-data/smol_llama-220M-GQA,BEE-spoke-data,2023-12-22,0.30328187832403686,217863168,2454,40706
HuggingFaceTB/SmolLM-360M-Instruct,HuggingFaceTB,2024-07-15,0.2877156570242574,361821120,18377,63246
HuggingFaceTB/SmolLM-360M,HuggingFaceTB,2024-07-14,0.3069139966273187,361821120,16228,61604
openai-community/gpt2-medium,openai-community,2022-03-03,0.3006418196149082,379988992,290918,16289932
Qwen/Qwen2-0.5B,Qwen,2024-05-31,0.3161806102916338,494032768,1373256,1563568
Qwen/Qwen2-0.5B-Instruct,Qwen,2024-06-03,0.30874901475059113,494032768,206479,578514
EleutherAI/pythia-410m,EleutherAI,2023-02-13,0.294448823330706,505997504,56456,600280
bigscience/bloom-560m,bigscience,2022-05-19,0.2947866231280261,559214592,298348,19860423
Qwen/Qwen1.5-0.5B-Chat,Qwen,2024-01-31,0.31212701272379234,619570176,206524,784380
Qwen/Qwen1.5-0.5B,Qwen,2024-01-22,0.3093120144127913,619570176,494012,939339
CoolSpring/Qwen2-0.5B-Abyme-merge3,CoolSpring,2024-07-27,0.2979634193799455,629647744,29,52
CoolSpring/Qwen2-0.5B-Abyme-merge2,CoolSpring,2024-07-27,0.2990011674665975,629647744,17,39
openai-community/gpt2-large,openai-community,2022-03-03,0.2986150208309875,811778816,805964,17822924
bigscience/bloom-1b1,bigscience,2022-05-19,0.3040198175881094,1065314304,16597,677241
Josephgflowers/TinyLlama-Cinder-Agent-v1,Josephgflowers,2024-05-21,0.3021144117265534,1100048384,43,875
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama,2023-12-30,0.3017252561940589,1100048384,452916,3522619
allenai/OLMo-1B-hf,allenai,2024-04-12,0.31145141312915214,1176764416,28821,76794
EleutherAI/gpt-neo-1.3B,EleutherAI,2022-03-03,0.30266861839882897,1365907456,84336,8765759
microsoft/phi-1,microsoft,2023-09-10,0.29760162143902713,1418270720,10536,149750
microsoft/phi-1_5,microsoft,2023-09-10,0.34928499042900574,1418270720,99345,1243176
Replete-AI/Replete-Coder-Qwen2-1.5b,Replete-AI,2024-06-23,0.3399922168893501,1543714304,403,1513
Qwen/Qwen2-1.5B-Instruct,Qwen,2024-06-03,0.37822317306609615,1543714304,157341,381738
Qwen/Qwen2-1.5B,Qwen,2024-05-31,0.35514018691588783,1543714304,66223,169252
VAGOsolutions/SauerkrautLM-1.5b,VAGOsolutions,2024-06-12,0.3537423790374887,1543714304,807,4561
openai-community/gpt2-xl,openai-community,2022-03-03,0.3005292196824682,1607942848,136822,11220504
stabilityai/stablelm-2-1_6b-chat,stabilityai,2024-04-08,0.3344217993469204,1644515328,6461,36691
stabilityai/stablelm-2-1_6b,stabilityai,2024-01-18,0.3398265961040423,1644515328,8391,222197
stabilityai/stablelm-2-zephyr-1_6b,stabilityai,2024-01-19,0.33081860150883907,1644515328,82952,323628
