id,owner,created,Utility,nParams,downloads,totalDownloads
prompthero/openjourney,prompthero,2022-11-08,824.7297879296616,123060557,34140,6583632
SimianLuo/LCM_Dreamshaper_v7,SimianLuo,2023-10-14,804.083751549083,1370283435,81983,1541838
stabilityai/stable-diffusion-3-medium-diffusers,stabilityai,2024-06-12,1013.4670452544451,2000000000,227411,1107907
Kwai-Kolors/Kolors,Kwai-Kolors,2024-06-05,1056.4089250480397,2600000000,1914,61135
playgroundai/playground-v2.5-1024px-aesthetic,playgroundai,2024-02-16,1122.974904225171,3468837867,233322,1258746
playgroundai/playground-v2-1024px-aesthetic,playgroundai,2023-12-05,1071.6102910499733,3468837867,9396,832169
ByteDance/SDXL-Lightning,ByteDance,2024-02-20,1022.9007404644076,3468837867,121226,3030669
stabilityai/sdxl-turbo,stabilityai,2023-11-27,912.0205767380698,3468837867,1438331,18507119
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,2023-07-25,966.4349996816151,3500000000,2722801,68780713
PixArt-alpha/PixArt-XL-2-1024-MS,PixArt-alpha,2023-11-04,1011.581544184822,4762310656,48952,785721
fal/AuraFlow,fal,2024-07-12,1009.7764641699603,8150081767,695,48922
black-forest-labs/FLUX.1-dev,black-forest-labs,2024-07-31,1118.208680551185,12000000000,1225253,3093016
black-forest-labs/FLUX.1-schnell,black-forest-labs,2024-07-31,1074.0855279072914,12000000000,1540794,4480581
